ClbQ_vina_results,,,,ClbP_vina_results,,
Compound,26.pdbqt_log.txt:,-8.304,,Compound,276.pdbqt_log.log.txt:,-7.928
Compound,553.pdbqt_log.txt:,-8.303,,Compound,369.pdbqt_log.log.txt:,-7.924
Compound,188.pdbqt_log.txt:,-8.302,,Compound,86.pdbqt_log.log.txt:,-7.923
Compound,478.pdbqt_log.txt:,-8.299,,Compound,44.pdbqt_log.log.txt:,-7.909
Compound,70.pdbqt_log.txt:,-8.294,,Compound,417.pdbqt_log.log.txt:,-7.908
Compound,381.pdbqt_log.txt:,-8.282,,Compound,485.pdbqt_log.log.txt:,-7.908
Compound,371.pdbqt_log.txt:,-8.269,,Compound,189.pdbqt_log.log.txt:,-7.895
Compound,513.pdbqt_log.txt:,-8.268,,Compound,539.pdbqt_log.log.txt:,-7.884
Compound,314.pdbqt_log.txt:,-8.26,,Compound,375.pdbqt_log.log.txt:,-7.884
Compound,432.pdbqt_log.txt:,-8.259,,Compound,310.pdbqt_log.log.txt:,-7.879
Compound,165.pdbqt_log.txt:,-8.241,,Compound,8.pdbqt_log.log.txt:,-7.867
Compound,182.pdbqt_log.txt:,-8.233,,Compound,469.pdbqt_log.log.txt:,-7.859
Compound,185.pdbqt_log.txt:,-8.227,,Compound,35.pdbqt_log.log.txt:,-7.858
Compound,177.pdbqt_log.txt:,-8.226,,Compound,67.pdbqt_log.log.txt:,-7.855
Compound,485.pdbqt_log.txt:,-8.223,,Compound,553.pdbqt_log.log.txt:,-7.843
Compound,484.pdbqt_log.txt:,-8.219,,Compound,398.pdbqt_log.log.txt:,-7.84
Compound,101.pdbqt_log.txt:,-8.211,,Compound,430.pdbqt_log.log.txt:,-7.837
Compound,499.pdbqt_log.txt:,-8.208,,Compound,421.pdbqt_log.log.txt:,-7.834
Compound,67.pdbqt_log.txt:,-8.206,,Compound,281.pdbqt_log.log.txt:,-7.826
Compound,73.pdbqt_log.txt:,-8.195,,Compound,378.pdbqt_log.log.txt:,-7.826
Compound,95.pdbqt_log.txt:,-8.193,,Compound,442.pdbqt_log.log.txt:,-7.822
Compound,134.pdbqt_log.txt:,-8.17,,Compound,96.pdbqt_log.log.txt:,-7.806
Compound,447.pdbqt_log.txt:,-8.163,,Compound,14.pdbqt_log.log.txt:,-7.804
Compound,283.pdbqt_log.txt:,-8.162,,Compound,172.pdbqt_log.log.txt:,-7.798
Compound,397.pdbqt_log.txt:,-8.161,,Compound,459.pdbqt_log.log.txt:,-7.796
Compound,382.pdbqt_log.txt:,-8.16,,Compound,341.pdbqt_log.log.txt:,-7.791
Arzanol.pdbqt_log.txt:,,-8.127,,Compound,109.pdbqt_log.log.txt:,-7.79
Compound,152.pdbqt_log.txt:,-8.121,,Compound,435.pdbqt_log.log.txt:,-7.789
Compound,462.pdbqt_log.txt:,-8.121,,Compound,65.pdbqt_log.log.txt:,-7.788
Compound,271.pdbqt_log.txt:,-8.118,,Compound,409.pdbqt_log.log.txt:,-7.783
Compound,317.pdbqt_log.txt:,-8.117,,Compound,20.pdbqt_log.log.txt:,-7.767
Compound,276.pdbqt_log.txt:,-8.116,,Compound,15.pdbqt_log.log.txt:,-7.751
Compound,183.pdbqt_log.txt:,-8.115,,Compound,238.pdbqt_log.log.txt:,-7.748
Arnicolide,C.pdbqt_log.txt:,-8.113,,Compound,203.pdbqt_log.log.txt:,-7.737
Compound,491.pdbqt_log.txt:,-8.103,,Compound,443.pdbqt_log.log.txt:,-7.73
Compound,497.pdbqt_log.txt:,-8.1,,Compound,186.pdbqt_log.log.txt:,-7.718
Compound,175.pdbqt_log.txt:,-8.093,,Compound,450.pdbqt_log.log.txt:,-7.714
Compound,444.pdbqt_log.txt:,-8.085,,Compound,16.pdbqt_log.log.txt:,-7.709
Compound,111.pdbqt_log.txt:,-8.077,,Compound,381.pdbqt_log.log.txt:,-7.698
Compound,249.pdbqt_log.txt:,-8.07,,Compound,425.pdbqt_log.log.txt:,-7.689
Compound,355.pdbqt_log.txt:,-8.065,,Compound,99.pdbqt_log.log.txt:,-7.684
Compound,316.pdbqt_log.txt:,-8.054,,Compound,222.pdbqt_log.log.txt:,-7.684
Compound,45.pdbqt_log.txt:,-8.053,,Compound,385.pdbqt_log.log.txt:,-7.682
Compound,172.pdbqt_log.txt:,-8.051,,Compound,209.pdbqt_log.log.txt:,-7.679
Compound,122.pdbqt_log.txt:,-8.043,,Compound,350.pdbqt_log.log.txt:,-7.674
Compound,388.pdbqt_log.txt:,-8.035,,Compound,251.pdbqt_log.log.txt:,-7.674
Compound,203.pdbqt_log.txt:,-8.03,,Compound,499.pdbqt_log.log.txt:,-7.673
Compound,197.pdbqt_log.txt:,-8.013,,Compound,144.pdbqt_log.log.txt:,-7.668
Compound,99.pdbqt_log.txt:,-8.005,,Compound,462.pdbqt_log.log.txt:,-7.666
Compound,10.pdbqt_log.txt:,-7.977,,Compound,253.pdbqt_log.log.txt:,-7.663
Compound,348.pdbqt_log.txt:,-7.961,,Compound,329.pdbqt_log.log.txt:,-7.658
Compound,17.pdbqt_log.txt:,-7.954,,Compound,293.pdbqt_log.log.txt:,-7.657
Compound,234.pdbqt_log.txt:,-7.948,,Compound,60.pdbqt_log.log.txt:,-7.647
Compound,434.pdbqt_log.txt:,-7.947,,Compound,446.pdbqt_log.log.txt:,-7.627
Compound,253.pdbqt_log.txt:,-7.946,,Compound,363.pdbqt_log.log.txt:,-7.624
Compound,2.pdbqt_log.txt:,-7.941,,Compound,448.pdbqt_log.log.txt:,-7.622
Compound,213.pdbqt_log.txt:,-7.94,,Compound,262.pdbqt_log.log.txt:,-7.598
Compound,193.pdbqt_log.txt:,-7.913,,Compound,524.pdbqt_log.log.txt:,-7.594
Compound,351.pdbqt_log.txt:,-7.908,,Marrubiin.pdbqt_log.log.txt:,,-7.589
Compound,262.pdbqt_log.txt:,-7.899,,Compound,480.pdbqt_log.log.txt:,-7.58
Compound,320.pdbqt_log.txt:,-7.894,,Compound,301.pdbqt_log.log.txt:,-7.573
Compound,524.pdbqt_log.txt:,-7.893,,Compound,59.pdbqt_log.log.txt:,-7.569
Compound,330.pdbqt_log.txt:,-7.89,,Compound,194.pdbqt_log.log.txt:,-7.564
Compound,469.pdbqt_log.txt:,-7.889,,Compound,457.pdbqt_log.log.txt:,-7.562
Compound,433.pdbqt_log.txt:,-7.878,,Compound,518.pdbqt_log.log.txt:,-7.556
Compound,378.pdbqt_log.txt:,-7.863,,Compound,217.pdbqt_log.log.txt:,-7.554
Compound,552.pdbqt_log.txt:,-7.854,,Compound,100.pdbqt_log.log.txt:,-7.542
Compound,238.pdbqt_log.txt:,-7.847,,Compound,361.pdbqt_log.log.txt:,-7.54
Compound,52.pdbqt_log.txt:,-7.839,,Compound,380.pdbqt_log.log.txt:,-7.538
Compound,300.pdbqt_log.txt:,-7.828,,Compound,454.pdbqt_log.log.txt:,-7.537
Compound,126.pdbqt_log.txt:,-7.825,,Compound,424.pdbqt_log.log.txt:,-7.532
Compound,119.pdbqt_log.txt:,-7.824,,Compound,73.pdbqt_log.log.txt:,-7.532
Compound,233.pdbqt_log.txt:,-7.82,,Compound,157.pdbqt_log.log.txt:,-7.529
Compound,247.pdbqt_log.txt:,-7.813,,Compound,171.pdbqt_log.log.txt:,-7.524
Compound,359.pdbqt_log.txt:,-7.808,,Compound,19.pdbqt_log.log.txt:,-7.523
Marrubiin.pdbqt_log.txt:,,-7.804,,Compound,191.pdbqt_log.log.txt:,-7.523
Compound,540.pdbqt_log.txt:,-7.798,,Compound,215.pdbqt_log.log.txt:,-7.523
Compound,376.pdbqt_log.txt:,-7.795,,Compound,71.pdbqt_log.log.txt:,-7.521
Compound,339.pdbqt_log.txt:,-7.773,,Compound,431.pdbqt_log.log.txt:,-7.511
Compound,251.pdbqt_log.txt:,-7.773,,Compound,468.pdbqt_log.log.txt:,-7.498
Compound,383.pdbqt_log.txt:,-7.771,,Compound,141.pdbqt_log.log.txt:,-7.496
Compound,171.pdbqt_log.txt:,-7.769,,Compound,143.pdbqt_log.log.txt:,-7.491
Compound,277.pdbqt_log.txt:,-7.756,,Compound,388.pdbqt_log.log.txt:,-7.488
Compound,118.pdbqt_log.txt:,-7.744,,Compound,384.pdbqt_log.log.txt:,-7.472
Compound,273.pdbqt_log.txt:,-7.73,,Compound,429.pdbqt_log.log.txt:,-7.461
Compound,237.pdbqt_log.txt:,-7.729,,Compound,292.pdbqt_log.log.txt:,-7.456
Compound,137.pdbqt_log.txt:,-7.72,,Compound,214.pdbqt_log.log.txt:,-7.446
